src,dst,page_id,score,note
031_Chapter 1.wav,p032_bridge_sneak_action.wav,p032_bridge_sneak_action,0.989,RENAMED
032_Chapter 1.wav,p034_bridge_midspan.wav,p034_bridge_midspan,0.998,RENAMED
033_Chapter 1.wav,p035_bridge_midspan_wounded.wav,p035_bridge_midspan_wounded,0.993,RENAMED
034_Chapter 1.wav,p036_underbridge_route.wav,p036_underbridge_route,0.995,RENAMED
035_Chapter 1.wav,p037_storm_drain.wav,p037_storm_drain,1.000,RENAMED
036_Chapter 1.wav,p038_flood_push_action.wav,p038_flood_push_action,1.000,RENAMED
037_Chapter 1.wav,p038b_flood_wounded.wav,p038b_flood_wounded,0.981,RENAMED
038_Chapter 1.wav,p039_drain_exit.wav,p039_drain_exit,0.995,RENAMED
039_Chapter 1.wav,p041_rail_yard_entry.wav,p041_rail_yard_entry,0.996,RENAMED
040_Chapter 1.wav,p042_warehouse_row.wav,p042_warehouse_row,0.999,RENAMED
041_Chapter 1.wav,p042b_open_route.wav,p042b_open_route,0.980,RENAMED
042_Chapter 1.wav,p043_tollbooth_shrine.wav,p043_tollbooth_shrine,0.998,RENAMED
043_Chapter 1.wav,p044_decode_routes.wav,p044_decode_routes,0.981,RENAMED
044_Chapter 1.wav,p045_yard_skirt_action.wav,p045_yard_skirt_action,0.996,RENAMED
045_Chapter 1.wav,p045b_yard_wounded.wav,p045b_yard_wounded,0.984,RENAMED
046_Chapter 1.wav,p046_yard_cutthrough_action.wav,p046_yard_cutthrough_action,0.998,RENAMED
047_Chapter 1.wav,p047_boxcar_find.wav,p047_boxcar_find,0.996,RENAMED
048_Chapter 1.wav,p049_yard_hit_wounded.wav,p049_yard_hit_wounded,0.997,RENAMED
049_Chapter 1.wav,p050_out_of_yard.wav,p050_out_of_yard,1.000,RENAMED
050_Chapter 1.wav,p051_sanctuary_shed.wav,p051_sanctuary_shed,1.000,RENAMED
051_Chapter 1.wav,p052_industrial_strip.wav,p052_industrial_strip,1.000,RENAMED
052_Chapter 1.wav,p052a_industrial_sprint_action.wav,p052a_industrial_sprint_action,1.000,RENAMED
053_Chapter 1.wav,p052b_sprint_wounded.wav,p052b_sprint_wounded,0.991,RENAMED
054_Chapter 1.wav,p053_gas_station.wav,p053_gas_station,0.998,RENAMED
055_Chapter 1.wav,p054_school_ruins.wav,p054_school_ruins,0.982,RENAMED
056_Chapter 1.wav,p055_after_gas.wav,p055_after_gas,1.000,RENAMED
057_Chapter 1.wav,p056_service_road.wav,p056_service_road,0.998,RENAMED
058_Chapter 1.wav,p057_gym_reveal.wav,p057_gym_reveal,1.000,RENAMED
059_Chapter 1.wav,p058_miniboss_stage1.wav,p058_miniboss_stage1,0.995,RENAMED
060_Chapter 1.wav,p058_miniboss_stage1_lose.wav,p058_miniboss_stage1_lose,0.996,RENAMED
061_Chapter 1.wav,p058_miniboss_stage1_win.wav,p058_miniboss_stage1_win,0.998,RENAMED
062_Chapter 1.wav,p059_miniboss_stage2.wav,p059_miniboss_stage2,0.994,RENAMED
063_Chapter 1.wav,p059_miniboss_stage2_lose.wav,p059_miniboss_stage2_lose,0.991,RENAMED
064_Chapter 1.wav,p059_miniboss_stage2_win.wav,p059_miniboss_stage2_win,0.992,RENAMED
065_Chapter 1.wav,p060_miniboss_stage3.wav,p060_miniboss_stage3,0.994,RENAMED
066_Chapter 1.wav,p060_miniboss_stage3_lose.wav,p060_miniboss_stage3_lose,0.994,RENAMED
067_Chapter 1.wav,p060_miniboss_stage3_win.wav,p060_miniboss_stage3_win,1.000,RENAMED
068_Chapter 1.wav,p061_post_miniboss.wav,p061_post_miniboss,0.989,RENAMED
069_Chapter 1.wav,p062_interchange_edge.wav,p062_interchange_edge,1.000,RENAMED
070_Chapter 1.wav,p063_service_tunnels.wav,p063_service_tunnels,0.998,RENAMED
071_Chapter 1.wav,p064_ramp_climb_action.wav,p064_ramp_climb_action,0.998,RENAMED
072_Chapter 1.wav,p064b_ramp_wounded.wav,p064b_ramp_wounded,1.000,RENAMED
073_Chapter 1.wav,p065_ramp_top.wav,p065_ramp_top,0.998,RENAMED
074_Chapter 1.wav,p067_suburb_entry.wav,p067_suburb_entry,0.999,RENAMED
075_Chapter 1.wav,p068_drainage_channel.wav,p068_drainage_channel,1.000,RENAMED
076_Chapter 1.wav,p069_breach_cabinet_action.wav,p069_breach_cabinet_action,1.000,RENAMED
077_Chapter 1.wav,p069b_breach_wounded.wav,p069b_breach_wounded,1.000,RENAMED
078_Chapter 1.wav,p070_firstaid_cache.wav,p070_firstaid_cache,0.993,RENAMED
079_Chapter 1.wav,p072_street_sweep_action.wav,p072_street_sweep_action,0.995,RENAMED
080_Chapter 1.wav,p072b_street_wounded.wav,p072b_street_wounded,1.000,RENAMED
081_Chapter 1.wav,p073_fence_maze.wav,p073_fence_maze,0.972,RENAMED
082_Chapter 1.wav,p074_neighborhood_exit.wav,p074_neighborhood_exit,0.998,RENAMED
083_Chapter 1.wav,p075_sanctuary_gazebo.wav,p075_sanctuary_gazebo,0.997,RENAMED
084_Chapter 1.wav,p076_highway_verge.wav,p076_highway_verge,0.999,RENAMED
085_Chapter 1.wav,p076b_exhaustion_check.wav,p076b_exhaustion_check,1.000,RENAMED
086_Chapter 1.wav,p076c_exhausted_after.wav,p076c_exhausted_after,1.000,RENAMED
087_Chapter 1.wav,p077_ditch_hide_action.wav,p077_ditch_hide_action,1.000,RENAMED
088_Chapter 1.wav,p078_billboard_field.wav,p078_billboard_field,0.979,RENAMED
089_Chapter 1.wav,p079_patrol_passed.wav,p079_patrol_passed,0.983,RENAMED
090_Chapter 1.wav,p080_patrol_spotted.wav,p080_patrol_spotted,1.000,RENAMED
091_Chapter 1.wav,p081_trunk_breach.wav,p081_trunk_breach,1.000,RENAMED
092_Chapter 1.wav,p082_tree_line.wav,p082_tree_line,0.987,RENAMED
093_Chapter 1.wav,p083_valley_cross_action.wav,p083_valley_cross_action,0.978,RENAMED
094_Chapter 1.wav,p084_scout_ridge.wav,p084_scout_ridge,1.000,RENAMED
095_Chapter 1.wav,p085_valley_far_side.wav,p085_valley_far_side,0.994,RENAMED
096_Chapter 1.wav,p086_valley_far_side_wounded.wav,p086_valley_far_side_wounded,1.000,RENAMED
097_Chapter 1.wav,p087_culvert_route.wav,p087_culvert_route,1.000,RENAMED
098_Chapter 1.wav,p088_culvert_action.wav,p088_culvert_action,1.000,RENAMED
099_Chapter 1.wav,p089_culvert_after_wounded.wav,p089_culvert_after_wounded,1.000,RENAMED
100_Chapter 1.wav,p090_chapel_sanctuary.wav,p090_chapel_sanctuary,0.998,RENAMED
101_Chapter 1.wav,p091_dirt_lane.wav,p091_dirt_lane,1.000,RENAMED
102_Chapter 1.wav,p092_barn_approach.wav,p092_barn_approach,0.998,RENAMED
103_Chapter 1.wav,p093_field_circle.wav,p093_field_circle,0.998,RENAMED
104_Chapter 1.wav,p094_barn_scout_action.wav,p094_barn_scout_action,1.000,RENAMED
105_Chapter 1.wav,p095_barn_sneak_action.wav,p095_barn_sneak_action,1.000,RENAMED
106_Chapter 1.wav,p096_boot_prints.wav,p096_boot_prints,1.000,RENAMED
107_Chapter 1.wav,p097_barn_aftermath.wav,p097_barn_aftermath,0.995,RENAMED
108_Chapter 1.wav,p098_barn_aftermath_wounded.wav,p098_barn_aftermath_wounded,1.000,RENAMED
109_Chapter 1.wav,p099_fence_line.wav,p099_fence_line,0.998,RENAMED
110_Chapter 1.wav,p100_gate_call.wav,p100_gate_call,1.000,RENAMED
111_Chapter 1.wav,p101_maintenance_culvert.wav,p101_maintenance_culvert,0.992,RENAMED
112_Chapter 1.wav,p102_final_reveal.wav,p102_final_reveal,1.000,RENAMED
113_Chapter 1.wav,p105_final_stage1.wav,p105_final_stage1,0.984,RENAMED
114_Chapter 1.wav,p105_final_stage1_lose.wav,p105_final_stage1_lose,1.000,RENAMED
115_Chapter 1.wav,p105_final_stage1_win.wav,p105_final_stage1_win,0.999,RENAMED
116_Chapter 1.wav,p107_final_stage2.wav,p107_final_stage2,0.993,RENAMED
117_Chapter 1.wav,p107_final_stage2_lose.wav,p107_final_stage2_lose,1.000,RENAMED
118_Chapter 1.wav,p107_final_stage2_win.wav,p107_final_stage2_win,1.000,RENAMED
119_Chapter 1.wav,p109_final_stage3.wav,p109_final_stage3,0.990,RENAMED
120_Chapter 1.wav,p109_final_stage3_lose.wav,p109_final_stage3_lose,0.995,RENAMED
121_Chapter 1.wav,p109_final_stage3_win.wav,p109_final_stage3_win,0.995,RENAMED
122_Chapter 1.wav,p111_final_stage4.wav,p111_final_stage4,0.977,RENAMED
123_Chapter 1.wav,p111_final_stage4_lose.wav,p111_final_stage4_lose,1.000,RENAMED
124_Chapter 1.wav,p111_final_stage4_win.wav,p111_final_stage4_win,1.000,RENAMED
125_Chapter 1.wav,p113_final_stage5.wav,p113_final_stage5,0.997,RENAMED
126_Chapter 1.wav,p113_final_stage5_lose.wav,p113_final_stage5_lose,0.999,RENAMED
127_Chapter 1.wav,p113_final_stage5_win.wav,p113_final_stage5_win,1.000,RENAMED
128_Chapter 1.wav,p114_victory_yard.wav,p114_victory_yard,1.000,RENAMED
129_Chapter 1.wav,p114b_wounded_victory.wav,p114b_wounded_victory,0.998,RENAMED
130_Chapter 1.wav,p115_gatehouse_meet.wav,p115_gatehouse_meet,0.997,RENAMED
131_Chapter 1.wav,p117_elias_status.wav,p117_elias_status,1.000,RENAMED
132_Chapter 1.wav,p119_end_choice.wav,p119_end_choice,0.997,RENAMED
133_Chapter 1.wav,p120_ending_1.wav,p120_ending_1,0.965,RENAMED
134_Chapter 1.wav,p121_ending_2.wav,p121_ending_2,0.992,RENAMED
135_Chapter 1.wav,p122_ending_3.wav,p122_ending_3,1.000,RENAMED
